date,source,copies
8/11/22,SouthBay,0.000115
8/14/22,SouthBay,0.000161
8/18/22,SouthBay,0.00021
8/21/22,SouthBay,0.000126
9/22/22,SouthBay,0
9/25/22,SouthBay,0
9/27/22,SouthBay,0.0000281
9/30/22,SouthBay,0
10/4/22,SouthBay,0
10/6/22,SouthBay,0
10/9/22,SouthBay,0
10/10/22,SouthBay,0
10/13/22,SouthBay,0
10/16/22,SouthBay,0
10/19/22,SouthBay,0
10/21/22,SouthBay,0
10/24/22,SouthBay,0
10/26/22,SouthBay,0
10/28/22,SouthBay,0
10/30/22,SouthBay,0
11/1/22,SouthBay,0.0000324
11/3/22,SouthBay,0
11/6/22,SouthBay,0
11/8/22,SouthBay,0
11/11/22,SouthBay,0
11/13/22,SouthBay,0
11/15/22,SouthBay,0
11/18/22,SouthBay,0
11/20/22,SouthBay,0
11/22/22,SouthBay,0
12/1/22,SouthBay,0
12/4/22,SouthBay,0
12/6/22,SouthBay,0
12/25/22,SouthBay,0
12/27/22,SouthBay,0
12/30/22,SouthBay,0
12/8/22,SouthBay,0
12/12/22,SouthBay,0
12/13/22,SouthBay,0
12/15/22,SouthBay,0
12/18/22,SouthBay,0
12/20/22,SouthBay,0
12/22/22,SouthBay,0
12/25/22,SouthBay,0
12/27/22,SouthBay,0
12/30/22,SouthBay,0
1/1/23,SouthBay,0
1/3/23,SouthBay,0
