date,source,copies
6/5/22,PointLoma,0
6/6/22,PointLoma,0
6/7/22,PointLoma,0
6/8/22,PointLoma,0
6/12/22,PointLoma,0
6/13/22,PointLoma,0
6/14/22,PointLoma,0
6/15/22,PointLoma,0
6/19/22,PointLoma,0
6/20/22,PointLoma,0
6/21/22,PointLoma,0
6/22/22,PointLoma,0
6/26/22,PointLoma,0
6/27/22,PointLoma,0
6/28/22,PointLoma,0
6/29/22,PointLoma,0
7/5/22,PointLoma,0
7/6/22,PointLoma,0
7/10/22,PointLoma,0.0000114
7/11/22,PointLoma,0
7/12/22,PointLoma,0
7/13/22,PointLoma,0
7/17/22,PointLoma,0.000109218
7/18/22,PointLoma,0.0000889
7/20/22,PointLoma,0.0000691
7/24/22,PointLoma,0.000117761
7/25/22,PointLoma,0.000156022
7/26/22,PointLoma,0.000247674
7/27/22,PointLoma,0.000179604
7/31/22,PointLoma,0.000152128
8/1/22,PointLoma,0.000203244
8/2/22,PointLoma,0.000233969
8/3/22,PointLoma,0.000234054
8/7/22,PointLoma,0.000256799
8/8/22,PointLoma,0.000434198
8/9/22,PointLoma,0.000204542
8/10/22,PointLoma,0.000273106
8/14/22,PointLoma,0.000110565
8/15/22,PointLoma,0.000171504
8/16/22,PointLoma,0.000252966
8/17/22,PointLoma,0.000159515
8/21/22,PointLoma,0.000057712
8/22/22,PointLoma,0.000086467
8/23/22,PointLoma,0.000083354
8/24/22,PointLoma,0.0000759
8/29/22,PointLoma,0.0000769
8/30/22,PointLoma,0.0000517
8/31/22,PointLoma,0.0000358
9/4/22,PointLoma,0
9/6/22,PointLoma,0.0000231
9/12/22,PointLoma,0.0000325
9/13/22,PointLoma,0.0000335
9/14/22,PointLoma,0.0000175
9/15/22,PointLoma,0.0000476
9/25/22,PointLoma,0.0000486
9/26/22,PointLoma,0.0000742
9/28/22,PointLoma,0
10/2/22,PointLoma,0
10/3/22,PointLoma,0
10/4/22,PointLoma,0.000296
10/5/22,PointLoma,0.000342
10/9/22,PointLoma,0.0000802
10/10/22,PointLoma,0.0000424
10/11/22,PointLoma,0
10/12/22,PointLoma,0
10/16/22,PointLoma,0
10/17/22,PointLoma,0
10/18/22,PointLoma,0
10/19/22,PointLoma,0
10/23/22,PointLoma,0.00000586
10/24/22,PointLoma,0.00000469
10/25/22,PointLoma,0
10/26/22,PointLoma,0
10/30/22,PointLoma,0.0000526
10/31/22,PointLoma,0
11/1/22,PointLoma,0
11/2/22,PointLoma,0
11/6/22,PointLoma,0
11/7/22,PointLoma,0
11/8/22,PointLoma,0
11/9/22,PointLoma,0
11/13/22,PointLoma,0
11/14/22,PointLoma,0
11/15/22,PointLoma,0
11/16/22,PointLoma,0
11/20/22,PointLoma,0
11/21/22,PointLoma,0.000101
11/22/22,PointLoma,0
11/28/22,PointLoma,0
11/29/22,PointLoma,0
11/30/22,PointLoma,0
12/4/22,PointLoma,0
12/5/22,PointLoma,0
12/6/22,PointLoma,0
12/7/22,PointLoma,0
12/11/22,PointLoma,0
12/12/22,PointLoma,0
12/13/22,PointLoma,0
12/14/22,PointLoma,0
12/18/22,PointLoma,0
12/19/22,PointLoma,0
12/20/22,PointLoma,0
12/21/22,PointLoma,0
12/25/22,PointLoma,0
12/26/22,PointLoma,0
12/27/22,PointLoma,0
12/28/22,PointLoma,0
1/1/23,PointLoma,0
1/2/23,PointLoma,0
1/3/23,PointLoma,0
1/4/23,PointLoma,0
